Industry,NON-OECD(t),NON-OECD(t-1),NON-OECD(t-2),NON-OECD Rents > 1pct(t),NON-OECD Rents > 1pct(t-1),NON-OECD Rents > 1pct(t-2),NON-OECD Rents > 2pct(t),NON-OECD Rents > 2pct(t-1),NON-OECD Rents > 2pct(t-2)
B05T09,0.0275 ns (0.0225),0.0329 ns (0.0319),0.0285 ns (0.0366),-0.0021 ns (0.0018),-0.0019 ns (0.0015),-4e-04 ns (0.0014),-0.001 ns (0.0019),-0.0013 ns (0.0012),-9e-04 ns (0.0013)
C17T18,-0.0044 ns (0.0043),-0.0012 ns (0.0036),-0.0012 ns (0.0098),0.0016 ns (0.0048),0.0033 ns (0.0064),0.0229 ** (0.0057),0.001 ns (0.0076),0.0043 ns (0.0067),0.0281 ** (0.0059)
C19,-0.3589 ns (0.3935),-0.4063 ns (0.4608),-0.3285 ns (0.4209),-0.0098 ns (0.0082),-0.012 ns (0.0108),-0.0144 ns (0.012),-0.0187 ns (0.0162),-0.0223 ns (0.0185),-0.0253 ns (0.0245)
C20,-0.0106 ns (0.0099),-0.0071 ns (0.0086),0.0076 ns (0.0045),4e-04 ns (0.0062),0.0063 ns (0.0039),0.0108 * (0.0035),0.0017 ns (0.0052),0.0052 ns (0.0062),0.0105 ns (0.0055)
C23,-0.01 ns (0.0535),-0.0653 ns (0.0604),-0.0993 ns (0.0907),0.0285 ns (0.0168),0.024 . (0.0124),0.0168 ns (0.0135),0.0368 ** (0.0097),0.0383 . (0.0192),0.0264 . (0.0136)
C24,-0.013 ns (0.0112),0.0082 . (0.0045),0.01 * (0.004),-8e-04 ns (0.003),6e-04 ns (0.0041),0.0124 * (0.0045),-0.0029 ns (0.0053),0.0015 ns (0.0036),0.0154 * (0.0052)
D35_E36T39,-0.0128 ns (0.008),-0.0115 ns (0.0091),-0.0032 ns (0.0129),-0.0081 ns (0.009),-0.0066 ns (0.0094),4e-04 ns (0.011),-0.0164 * (0.0052),-0.0154 * (0.0047),-0.0046 ns (0.0118)
