Industry,OECD(t),OECD(t-1),OECD(t-2),EU(t),EU(t-1),EU(t-2)
B05T09,0.0268 * (0.0132),0.0191 ns (0.0193),0.0205 ns (0.023),-0.0212 ns (0.0165),-0.0236 ns (0.0203),-0.0288 * (0.0123)
C17T18,0.0109 *** (0.0023),0.0118 *** (0.0028),0.0091 ** (0.0033),-0.004 ns (0.0064),0.0037 ns (0.0059),0.0051 ns (0.0055)
C19,-0.0126 ns (0.0096),-0.0062 ns (0.0213),-0.0021 ns (0.0269),-0.0121 ns (0.0219),-0.0613 ** (0.0219),-0.0812 *** (0.0161)
C20,-0.014 *** (0.0037),-0.0152 *** (0.0045),-0.005 ns (0.0075),0.0028 ns (0.0079),-0.0071 ns (0.0077),-0.0212 * (0.009)
C23,0.0054 ns (0.0076),0.001 ns (0.0121),-0.0065 ns (0.0066),-0.0046 ns (0.0103),-0.0146 ns (0.0237),-0.0178 ns (0.0167)
C24,6e-04 ns (0.0037),-0.0018 ns (0.0035),0.004 ns (0.0029),-0.0034 ns (0.006),-0.0085 ns (0.0108),-0.0054 ns (0.0091)
D35_E36T39,-0.0058 ns (0.0043),-0.0111 . (0.006),-0.0082 ns (0.007),-0.0095 ns (0.009),-0.0099 ns (0.0121),-0.0033 ns (0.0096)
