Industry,NON-OECD(t),NON-OECD(t-1),NON-OECD(t-2),NON-OECD Rents > 1pct(t),NON-OECD Rents > 1pct(t-1),NON-OECD Rents > 1pct(t-2),NON-OECD Rents > 2pct(t),NON-OECD Rents > 2pct(t-1),NON-OECD Rents > 2pct(t-2)
B05T09,0.029 ns (0.0256),0.0313 ns (0.0309),0.0262 ns (0.0348),-0.0027 ns (0.0016),-0.0029 . (0.0015),-0.0022 ns (0.0018),-8e-04 ns (0.0015),-0.002 ns (0.0011),-0.002 ns (0.0019)
C17T18,-0.0087 ns (0.0062),-0.0076 ns (0.0063),-0.0105 ns (0.012),0.0026 ns (0.005),0.0031 ns (0.0065),0.0156 * (0.0054),0.0016 ns (0.0073),0.0027 ns (0.0059),0.0187 ** (0.0044)
C19,-0.4098 ns (0.4102),-0.4237 ns (0.4302),-0.3911 ns (0.4056),-0.0124 ns (0.0129),-0.0174 ns (0.0173),-0.0184 ns (0.0179),-0.0223 ns (0.0209),-0.0274 ns (0.0245),-0.0312 ns (0.026)
C20,-0.0115 ns (0.0122),-0.0079 ns (0.0104),0.0019 ns (0.0092),0.0056 ns (0.0084),0.0071 ns (0.0053),0.0107 ns (0.0061),0.0115 ns (0.01),0.0096 * (0.0034),0.0117 . (0.0051)
C23,-0.0404 ns (0.0694),-0.0813 ns (0.0741),-0.1187 ns (0.1056),0.0265 * (0.0101),0.0216 * (0.008),0.0112 ns (0.0177),0.0262 . (0.0119),0.0238 ns (0.0142),0.011 ns (0.0116)
C24,-0.0046 ns (0.0053),0.0109 ns (0.0102),0.0256 ns (0.0155),0.002 ns (0.0044),0.0047 ns (0.0071),0.0142 . (0.0075),-7e-04 ns (0.0067),0.0053 ns (0.0067),0.0171 * (0.0064)
D35_E36T39,-0.0126 . (0.0069),-0.0132 . (0.0075),-0.0045 ns (0.008),-0.011 ns (0.0087),-0.0064 ns (0.007),-2e-04 ns (0.0068),-0.0113 ns (0.0066),-0.008 ns (0.0061),0 ns (0.0096)
