Industry,OECD(t),OECD(t-1),OECD(t-2),EU(t),EU(t-1),EU(t-2)
B05T09,-0.0741 ns (0.0679),-0.0483 ns (0.0663),-0.0334 ns (0.0627),-0.11 ns (0.1301),-0.1027 ns (0.1507),-0.1038 ns (0.1515)
C17T18,0.0108 ns (0.0142),0.0217 ns (0.0185),0.0263 ns (0.0242),0.0174 ns (0.0185),0.0312 ns (0.0261),0.0343 ns (0.0355)
C19,4.691 ns (5.5802),6.278 ns (6.1646),10.5589 ns (8.2746),5.6262 ns (7.9018),7.2055 ns (8.7775),14.0397 ns (10.9308)
C20,-0.0724 ns (0.0622),-0.0301 ns (0.0484),-0.0307 ns (0.0581),-0.1036 ns (0.104),-0.0243 ns (0.089),-0.0696 ns (0.1078)
C23,-1.3539 ** (0.4895),-1.2455 ** (0.4009),-1.1488 * (0.4969),-1.2605 * (0.5363),-1.2276 ** (0.4163),-1.4336 * (0.6066)
C24,0.0228 ns (0.0318),0.0194 ns (0.0354),0.0194 ns (0.041),0.0345 ns (0.0391),0.0547 ns (0.0482),0.0926 ns (0.0583)
D35_E36T39,0.01 ns (0.0361),0.0606 ns (0.0678),0.1028 ns (0.0884),0.0154 ns (0.0236),0.0392 ns (0.0419),0.1127 ns (0.0779)
