Industry,NON-OECD(t),NON-OECD(t-1),NON-OECD(t-2),NON-OECD Rents > 1pct(t),NON-OECD Rents > 1pct(t-1),NON-OECD Rents > 1pct(t-2),NON-OECD Rents > 2pct(t),NON-OECD Rents > 2pct(t-1),NON-OECD Rents > 2pct(t-2)
B05T09,-0.0098 ns (0.006),-0.0018 ns (0.0071),5e-04 ns (0.0072),-0.0129 . (0.0078),-0.009 ns (0.0103),-0.0062 ns (0.013),-0.0203 ** (0.0068),-0.0209 *** (0.0035),-0.0219 *** (0.0036)
C17T18,0.0199 *** (0.0039),0.0273 *** (0.0057),0.0297 *** (0.0061),-0.0014 ns (0.0011),-0.0039 . (0.0021),-0.0067 . (0.0035),-7e-04 ns (0.0029),0.0012 ns (0.0046),0.0072 ns (0.0084)
C19,0.0078 ns (0.0053),0.0094 * (0.0041),0.0102 *** (0.0024),0.0029 ns (0.0064),-0.0035 ns (0.0062),-0.0028 ns (0.0065),0.0037 ns (0.009),-0.0072 ns (0.0083),-0.0037 ns (0.0101)
C20,0.0026 ns (0.0024),0.0035 * (0.0016),0.0035 * (0.0016),0.002 ns (0.0014),0.001 ns (0.0018),-0.0012 ns (0.0026),-0.001 ns (0.0038),-0.0015 ns (0.0064),-0.0047 ns (0.0063)
C23,0.0053 *** (0.0016),0.0039 ** (0.0014),0.0013 ns (0.0014),-0.006 ** (0.0021),-0.0034 * (0.0014),0.0012 ns (0.0024),-2e-04 ns (0.004),-0.0084 . (0.005),-0.0087 ns (0.0066)
C24,0.0154 ** (0.0048),0.026 *** (0.0038),0.0296 *** (0.0031),-0.0099 ns (0.0066),0.003 ns (0.0034),0.0169 *** (0.0044),-0.0126 * (0.0063),-0.0152 ** (0.0052),-0.0152 *** (0.0041)
D35_E36T39,0.009 ** (0.0034),0.004 ns (0.0031),0.0018 ns (0.0027),0.0083 . (0.0042),0.0067 ns (0.0049),0.0083 ns (0.0051),-0.0022 ns (0.0054),-0.0054 ns (0.0052),-0.0023 ns (0.0077)
