Industry,OECD(t),OECD(t-1),OECD(t-2),EU(t),EU(t-1),EU(t-2)
B05T09,1.2643 ns (1.3827),-1.466 ns (1.8785),-1.2207 ns (2.2384),2.69 ns (3.6687),-0.912 ns (3.9862),-3.0178 ns (4.3511)
C17T18,-0.4298 ns (0.7849),0.1255 ns (1.4221),1.5942 ns (2.7238),0.4746 ns (0.8317),1.8797 ns (1.5947),6.2415 ns (4.9262)
C19,465.6225 ns (282.9843),113.7245 ns (143.5089),-117.5716 ns (233.8413),311.067 ns (221.7959),38.4416 ns (81.2553),224.0835 ns (290.4028)
C20,3.685 ns (2.8108),4.3517 ns (2.8501),0.9571 ns (1.1944),6.8518 ns (6.2849),8.6452 ns (7.1011),2.767 ns (4.0435)
C23,16.5626 ns (14.6089),27.5938 ns (20.0613),-6.6754 ns (14.4512),30.8576 ns (27.7828),56.4594 ns (39.4762),7.3396 ns (29.3022)
C24,0.7572 ns (0.6132),0.5908 ns (0.8642),-0.2819 ns (1.9784),0.7577 ns (0.6666),1.4869 ns (0.8989),2.737 ns (1.7113)
D35_E36T39,3.7638 ns (4.2996),0.4199 ns (1.8653),9.2807 ns (6.984),-0.0862 ns (0.6257),0.9559 ns (1.8792),5.8808 ns (6.8901)
