,REF_AREA,TIME_PERIOD,EPS,EPI,GCI 4.0: Energy efficiency regulation,GCI 4.0: Environment-related treaties in force,GCI 4.0: Renewable energy regulation,CCPI_SCORE,A01T03_Domestic,A01T03_Foreign,B05T09_Domestic,B05T09_Foreign,C10T12_Domestic,C10T12_Foreign,C13T15_Domestic,C13T15_Foreign,C16_Domestic,C16_Foreign,C17T18_Domestic,C17T18_Foreign,C19_Domestic,C19_Foreign,C20_Domestic,C20_Foreign,C21_Domestic,C21_Foreign,C22_Domestic,C22_Foreign,C23_Domestic,C23_Foreign,C24_Domestic,C24_Foreign,C25_Domestic,C25_Foreign,C26_Domestic,C26_Foreign,C27_Domestic,C27_Foreign,C28_Domestic,C28_Foreign,C29_Domestic,C29_Foreign,C30_Domestic,C30_Foreign,C31T33_Domestic,C31T33_Foreign,D35_E36T39_Domestic,D35_E36T39_Foreign,F41T43_Domestic,F41T43_Foreign,G45T47_Domestic,G45T47_Foreign,H49_Domestic,H49_Foreign,H50_Domestic,H50_Foreign,H51_Domestic,H51_Foreign,H52_Domestic,H52_Foreign,H53_Domestic,H53_Foreign,I55T56_Domestic,I55T56_Foreign,J58T60_Domestic,J58T60_Foreign,J61_Domestic,J61_Foreign,J62T63_Domestic,J62T63_Foreign,K64T66_Domestic,K64T66_Foreign,L68_Domestic,L68_Foreign,M69T75_Domestic,M69T75_Foreign,N77T82_Domestic,N77T82_Foreign,O84_Domestic,O84_Foreign,P85_Domestic,P85_Foreign,Q86T88_Domestic,Q86T88_Foreign,R90T93_Domestic,R90T93_Foreign,S94T96_Domestic,S94T96_Foreign,T97T98_Domestic,T97T98_Foreign,GDP,TRADE,INTEREST_PAYMENTS,OIL_RENTS,FINANCIAL_DEVELOPMENT
0,AGO,2014,,24.395940853116052,,,,,5.3425,0.6553,22379.5169,8455.1243,96.7505,73.9507,4.9586,1.1897,1.2047,1.1148,1.5415,2.0167,446.7666,156.3006,222.3386,335.5925,0.3593,3.8196,0.3888,0.8228,0.6483,0.8317,4.8584,5.6706,1.3991,1.7109,4.7369,13.1809,1.1076,1.8654,59.9747,84.6845,1.3353,6.8324,0.4966,1.8484,11.1968,9.163,414.336,142.7451,0.0544,0.003,274.7383,265.6986,74.8051,21.674,136.5619,20.801,23.8334,7.2829,14.5496,10.0677,0.9609,0.0884,11.2436,9.3747,14.178,5.6467,30.7398,9.6762,19.41,19.4757,52.2482,77.9521,34.622,8.912,58.8717,48.1048,111.6977,95.562,0.0,0.0,0.5498,0.0065,0.9193,0.0602,2.2474,0.9313,1.4153,0.15,0.0,0.0,5649.687625,69.5801424481147,3.32653719268244,21.736607448329,0.131
1,AGO,2015,,22.427692068873654,,,,,1.7533,0.1273,11658.2369,3743.3691,24.196,22.9919,4.3044,1.2497,2.7625,3.6188,2.8191,4.8221,145.3435,60.9042,44.7899,101.1777,0.0771,1.1909,1.5882,4.9409,3.7233,8.0707,6.5641,9.8814,14.3425,30.251,12.4016,62.8551,6.9431,15.503,101.4295,200.186,3.5572,27.3036,1.8154,9.5318,8.1655,8.3444,234.3682,97.7058,0.0509,0.0045,133.2833,156.8334,49.966,18.3482,87.6149,16.7131,15.9661,6.2448,7.721,7.3337,0.7505,0.0818,7.0282,6.7145,8.9215,4.4654,17.2571,7.1867,13.2729,18.2024,33.1353,64.2083,24.1958,7.5891,47.8006,51.9775,66.4272,73.7831,0.0,0.0,0.2978,0.0047,0.6523,0.0573,1.407,0.6673,0.8525,0.1052,0.0,0.0,3641.728939,54.9793808779835,9.48574817746618,12.7187303090272,0.145
2,AGO,2016,,25.324425748920028,,,,,4.9659,0.6539,9145.6817,2761.8595,31.6401,34.5878,3.9154,1.2946,4.5639,10.6045,3.3945,6.4456,109.6378,47.7914,36.3816,85.5448,0.0532,0.8441,1.4257,5.3447,8.4442,21.6135,11.9,20.9662,14.731,36.8378,7.1875,41.2901,6.6054,16.3921,71.0897,142.5851,2.8613,22.2568,1.2637,9.4017,5.2818,6.1976,184.4004,84.3352,0.1073,0.0116,148.1703,170.5565,35.6314,13.1103,48.3975,9.3407,10.3525,3.3419,8.1509,7.0037,0.5,0.0537,5.103,3.8721,4.9345,2.5308,9.1294,3.9055,7.9012,11.691,17.2822,31.3539,20.2153,6.3846,37.7035,39.951,33.4136,35.2114,0.0,0.0,0.2472,0.0019,0.6787,0.0397,1.2357,0.4976,0.7368,0.0693,0.0,0.0,2051.814621,47.0155661405313,13.7020911962502,19.7483988340046,0.151
3,AGO,2017,,32.126488281242736,,,,,3.4491,0.4018,12181.4089,2942.9398,36.6059,31.4763,4.3155,1.2527,5.8567,10.1251,3.8211,5.4258,220.5091,82.2442,62.5382,107.0779,0.0665,0.9409,1.1867,3.1455,2.5165,4.1659,7.8096,11.1006,6.3001,12.2287,10.1135,38.8543,6.8768,12.6531,73.9659,113.1056,2.1844,14.7765,1.543,6.733,7.0286,6.8869,248.6016,93.4836,0.0699,0.005,194.3841,173.7482,45.2614,14.4096,67.0264,11.0397,12.7256,3.6897,9.1265,6.9585,0.5924,0.0523,5.7183,3.5758,6.1002,2.6107,10.2264,3.7149,12.0413,14.4552,26.7497,35.9624,24.1888,6.9772,53.793,48.0787,56.4625,52.5443,0.0,0.0,0.2763,0.0016,0.663,0.032,1.489,0.5235,0.8583,0.066,0.0,0.0,2790.718869,45.6643423539921,16.5402705579421,24.7110060055382,0.146
4,AGO,2018,,40.783304668089485,,,,,16.0232,0.912,13858.9106,4156.9201,35.401,29.4822,8.2311,2.4551,6.1474,6.2371,4.3695,5.1391,264.4122,95.083,60.3529,126.591,1.0822,1.6735,3.8548,5.0764,5.0341,6.3252,10.2912,13.6552,7.6952,8.7498,8.052,23.8404,5.2572,7.7978,60.3785,103.9024,3.2686,11.2377,2.0608,2.6076,8.033,6.0505,313.778,121.3542,0.9489,0.1031,281.3818,235.8087,93.641,21.7827,62.1851,14.8062,21.3742,6.8095,24.7727,14.6917,3.6116,0.6334,17.7663,4.4273,9.401,4.7444,13.5859,6.7505,16.2597,17.0093,29.2871,37.8537,76.1289,10.047,52.2428,33.8046,43.2557,30.6343,0.0,0.0,1.6827,0.0061,3.9885,0.1929,5.8996,1.0166,4.2057,0.3697,0.0,0.0,2860.093648,58.916480075976,20.5996010187756,30.7304027285905,0.141
5,AGO,2019,,47.529579367682054,10.62,62.07,30.0,,2.0645,0.2719,11189.5688,3423.812,29.2887,33.3105,2.6965,0.9923,3.2827,6.2597,2.0847,4.0581,136.6241,62.169,43.9448,104.8418,0.0853,0.9608,0.6853,2.705,1.2412,2.8518,4.5799,8.6717,2.5554,5.6509,2.4971,17.4375,3.6945,9.6165,47.8297,102.8324,1.0458,9.8378,0.5677,5.0378,2.1073,2.7762,226.9077,115.0014,0.0743,0.0068,151.9042,209.5149,36.5646,16.0745,45.6758,8.9908,6.8107,2.7031,8.6253,9.3336,0.536,0.0557,2.88,2.5361,2.0111,1.0573,4.7975,1.994,5.4983,9.5901,12.4437,27.0646,17.7341,7.8481,20.3235,23.3505,16.9218,19.8416,0.0,0.0,0.1501,0.0009,0.3497,0.0251,0.8643,0.4741,0.4751,0.0502,0.0,0.0,2493.678844,60.7148243336685,22.494038906987,27.504828641196,0.144
6,AGO,2020,,53.62075404600774,,,,,194.268,40.5111,6657.0205,2062.9899,153.5461,92.8449,108.0279,26.2907,166.3943,128.3872,76.207,40.6503,351.5782,222.2172,224.3998,213.0927,23.1825,14.9866,115.6834,87.7564,75.8824,53.9647,183.459,146.5063,167.5065,124.7594,188.8615,163.9592,116.0402,83.4138,196.9781,179.4035,122.7324,105.3585,50.4024,40.3385,214.2006,136.9292,339.3236,185.6369,57.4507,9.7924,594.4657,481.3378,380.6378,191.4768,339.1678,178.8982,307.008,129.116,271.0899,171.15,86.0761,15.57,129.7051,34.9685,164.1916,64.4302,209.0174,93.7441,178.8289,115.5848,279.6966,185.4815,229.3011,87.5877,308.8125,211.0306,313.6125,219.0999,0.0,0.0,23.1062,0.0,104.2402,4.32,70.6837,8.4032,104.5725,10.3722,0.0,0.0,1759.356199,54.3442286847189,25.187180764127,18.5719595053837,0.143
14,ARG,2014,,41.44156749368646,,,,53.6,398.4464,86.4517,1363.7221,1400.549,7975.3658,3603.9702,574.0155,80.2156,48.5407,14.8157,333.8542,112.2681,837.5334,260.3938,1444.6363,1167.8361,378.9745,524.6404,272.5775,188.1058,56.0755,45.2131,1001.7277,339.9038,149.9841,102.0617,87.5307,100.8699,101.868,86.0838,399.3563,313.6498,728.6643,6330.1834,30.5915,35.8517,81.6161,45.1175,51.7872,19.0031,0.0931,0.0097,2922.596,1282.7355,379.2136,29.807,46.9658,8.5206,312.2634,77.4297,398.7171,151.1726,23.6239,1.708,158.4473,89.4925,99.5773,49.5343,474.6873,88.4325,478.0558,417.9894,44.2,165.9529,24.2442,3.8545,816.6769,401.4466,268.9397,234.0925,0.0,0.0,2.4111,0.0879,2.5129,0.241,13.3617,27.5685,4.5719,0.7987,0.0,0.0,12233.14441,28.4067936452275,8.53190556024392,2.09270565105548,0.302
15,ARG,2015,,42.66895677541952,,,,49.61,298.9589,82.5616,1162.5642,1217.3006,6347.9187,2703.4368,412.4223,69.3043,35.2061,12.3979,262.212,99.0258,638.773,197.2148,1189.389,871.5025,362.5578,446.7342,213.7409,157.0973,43.0092,37.914,750.954,284.4918,118.9547,89.777,71.2235,80.9083,79.13,75.7587,311.9391,249.69,717.2066,4160.3156,21.4017,32.0803,65.9543,41.2354,41.9645,16.9217,0.0797,0.0069,2795.4921,1176.6238,312.6499,30.0599,42.8499,8.9999,230.0021,64.6829,361.6877,155.0152,21.4936,1.8198,142.2297,95.6093,86.6188,50.7364,455.4659,92.2709,434.3486,464.9757,36.7295,165.1709,22.2621,4.2445,770.5792,425.8371,242.2524,250.7074,0.0,0.0,2.1293,0.104,2.2682,0.2277,11.912,29.0616,4.1468,0.8702,0.0,0.0,13679.6265,22.4862260889792,8.32315211040757,0.693912054976671,0.288
16,ARG,2016,,41.46792598269426,,,,48.34,309.0961,88.1595,1013.6626,1169.0851,6310.9475,3290.2138,383.2636,71.6765,32.7146,13.2155,258.229,108.1259,485.7242,158.7788,1245.6639,930.7645,349.9876,446.9421,199.4915,169.8547,42.2685,42.7032,733.2702,318.2369,120.59,103.6329,69.4529,98.3273,73.8483,84.2684,352.3578,302.1242,371.7223,4107.1136,20.1988,33.422,62.0728,45.1082,47.2204,17.2897,0.0922,0.0091,2646.2311,1271.6788,287.5951,29.992,39.4066,8.6832,216.4562,59.297,338.3532,155.3956,19.4807,1.778,137.3247,106.1706,82.7923,53.6934,419.715,97.0591,379.7171,479.9866,34.6637,156.6862,22.0987,4.8444,710.6182,449.6795,224.5574,254.6132,0.0,0.0,2.3542,0.1219,2.4979,0.2509,13.847,35.2255,4.5247,0.9937,0.0,0.0,12699.96231,26.0938878488799,13.9565149181762,0.549552011638029,0.307
17,ARG,2017,,40.29457513335569,,,,53.15,324.1163,89.948,995.9382,1247.5821,6649.5713,3087.3839,370.3104,67.1031,31.3218,12.1743,279.0866,109.7925,324.4361,107.9195,1297.6079,868.8007,353.2255,385.2709,197.9316,164.5956,44.7428,40.8378,753.9687,313.8387,123.7901,101.4773,66.4283,86.7588,70.3629,81.8311,364.4643,279.7501,492.585,4553.6509,21.6015,34.1118,64.3799,44.2289,35.9872,12.2735,0.0916,0.0075,3016.3877,1255.404,321.0178,30.9289,46.7147,9.9137,271.1926,69.9174,429.4209,184.4765,23.7075,2.0494,165.1922,109.5636,107.4319,64.1186,538.1662,113.6423,508.0063,593.0065,47.838,175.6984,26.119,4.7577,902.2774,513.5018,282.7537,303.5356,0.0,0.0,2.6658,0.1429,2.8201,0.2354,20.4364,52.2425,5.152,1.0312,0.0,0.0,14532.50093,25.2896011376779,11.8066620522456,0.663565866238942,0.328
18,ARG,2018,,38.30972955688857,,,,41.21,927.9125,91.4556,1391.2081,1337.8191,6422.0062,3325.7687,430.0922,73.3889,50.8891,14.5193,256.1562,122.9123,372.0294,121.7955,1093.4591,1031.2377,313.9418,521.2171,210.2199,174.3969,65.18,46.9295,740.5773,319.7352,234.9894,139.3393,65.4179,100.8147,78.0674,91.6456,299.3965,351.7125,509.902,5123.3814,298.0814,307.4923,108.3953,58.7537,51.167,16.3317,3.3521,0.7352,3838.0287,1460.4642,375.6205,36.75,39.4627,14.7269,426.0425,71.3287,509.0876,176.0053,28.1983,5.6728,349.4188,114.8703,105.7683,67.8616,442.8431,118.9678,630.3308,544.7095,53.4881,193.479,82.3908,6.7608,1212.0572,510.2189,400.493,288.5567,0.0,0.0,13.9526,0.1375,14.2966,0.2728,77.6459,55.1187,23.7187,1.2385,0.0,0.0,11752.79989,30.7625359549926,16.4774283123674,1.31095340723836,0.316
19,ARG,2019,,38.577969471112105,34.08,79.31,59.0,49.01,380.0374,121.8287,1296.0096,1491.928,7073.6863,3128.8388,290.7723,63.9477,33.4918,13.2555,250.4898,104.7642,345.7842,118.5693,1158.2089,781.288,412.7752,451.9139,186.315,168.0022,51.6543,52.2256,737.972,310.7298,186.3824,174.733,46.7615,102.9163,66.4442,86.2741,255.5639,332.1739,429.6882,4008.6934,165.0475,240.5563,86.1153,75.7055,24.9299,8.9466,1.2332,0.2387,3499.2815,1690.7563,494.0673,58.663,37.6384,9.9851,296.4195,87.0494,394.0432,191.0847,12.7159,1.2559,153.9982,123.8841,99.9617,66.3287,631.8413,137.3801,406.3486,427.6364,15.5729,155.6222,20.5221,5.6962,760.8309,512.8945,269.9239,340.077,0.0,0.0,1.747,0.1552,1.8137,0.3391,18.3074,66.2411,3.5649,1.271,0.0,0.0,9955.974787,32.6306150458499,19.542362717226,1.29099565501431,0.276
20,ARG,2020,,40.20937596688941,,,,43.77,1545.5878,408.8365,1475.4752,1328.4981,7067.9753,3587.712,860.0656,445.0048,526.5095,285.1386,845.2459,598.2652,713.5815,412.0643,1414.2065,1173.9751,899.6255,924.4303,746.5997,584.3536,494.133,342.9623,1029.8863,680.3677,907.1048,681.1358,581.185,502.5305,592.6332,488.9479,849.6596,756.246,819.5937,2991.197,502.945,438.929,909.7514,715.1486,566.9812,300.9157,162.5885,29.4282,5520.8578,2029.5474,1620.1938,714.1309,642.5608,398.269,773.5166,541.0697,1179.0558,853.6755,380.6233,147.4158,845.4684,449.6706,730.1937,578.135,1053.7864,712.4797,1103.2966,945.3066,542.1807,556.2724,443.1861,117.9997,1792.6533,1162.4628,1098.8597,907.5219,0.0,0.0,21.0899,0.0507,16.9642,0.1237,403.8706,249.7051,184.2313,14.8532,0.0,0.0,8535.59938,30.203698807416,11.0831741282416,0.677055565819106,0.314
21,AUS,2014,2.6944444,35.28714629400683,,,,41.53,380.8565,2470.224,37920.9816,31971.8653,5164.4713,6265.0262,284.6501,110.4131,193.7936,34.7883,676.1563,366.9937,1151.7457,268.5381,1532.0512,2241.5788,137.7881,1380.4151,387.3018,376.9845,148.3658,89.2629,12596.5796,4401.261,433.7225,465.6437,0.0,1429.989,202.0966,568.038,490.3359,1469.1586,105.8417,2030.2469,645.5324,199.9373,269.6524,290.4412,65.544,63.0682,181.9342,206.0851,7347.9993,12001.7428,1538.7077,196.4309,1100.8851,123.2928,1378.2377,223.0829,1040.4166,207.6572,639.6475,41.2953,399.6228,1559.1436,368.9394,196.4404,1186.9615,111.027,471.2624,398.6107,1218.1809,1315.6492,94.5095,390.1667,1125.634,2385.2342,894.5302,1334.5525,0.0,0.0,94.3488,113.8071,11.7926,45.547,100.1848,152.5309,25.6079,11.8509,0.0,0.0,62817.20618,42.2993095385282,3.50905964683905,0.488872500922202,0.903
22,AUS,2015,2.6944444,35.8693093875795,,,,35.57,326.7564,294.6026,22566.4048,30539.6781,4548.1699,5120.5026,220.5831,110.0678,170.7753,34.5589,516.1703,332.3658,754.705,264.5328,940.5127,2010.4524,84.8188,1024.7615,300.1453,356.5447,114.0762,98.4238,10666.792,4144.0769,310.0255,408.1577,0.0,1295.5156,100.0462,553.5931,228.3875,1320.2018,79.2638,1763.0269,567.6,295.7236,186.8959,291.9758,55.3225,73.8626,148.1581,141.4905,6113.3676,9596.2217,1187.6671,222.9685,874.646,126.5933,1107.0678,248.1916,761.8287,269.8418,517.8356,43.8752,361.4913,1104.1307,294.329,215.7691,1013.6654,133.2173,399.3955,440.8823,1081.9723,1262.451,96.8436,137.6697,952.8232,1862.5323,705.2671,1371.4681,0.0,0.0,84.1951,87.8482,10.742,23.6142,86.9845,167.3045,22.1516,13.6019,0.0,0.0,56970.3613,41.4947506939901,3.85096907733802,0.197899254363141,0.921
23,AUS,2016,2.6944444,36.831206486292224,,,,36.56,339.4388,299.2659,24773.7867,29718.4406,5295.7428,5312.1964,231.6779,116.2156,194.4264,38.1722,519.8435,384.0461,692.0327,226.0971,807.5723,2126.7029,184.0768,1505.2363,330.1877,408.0657,118.103,107.4556,10887.1871,4552.6894,288.0842,397.8529,0.0,856.0855,102.8139,617.5102,217.8159,1338.221,45.2424,1709.4906,511.2808,247.7312,208.986,374.0416,37.0349,46.0479,161.2658,92.8793,5816.6374,9865.3417,1123.0207,243.7717,845.6547,116.6603,1122.3796,256.834,722.6082,267.9143,487.3741,42.2522,361.1805,1171.9354,282.3993,222.154,1069.2651,130.6311,414.8202,478.8136,999.7917,1254.1668,98.4867,168.6418,912.176,1820.0747,746.8434,1539.4292,0.0,0.0,88.8551,155.1209,12.3246,2.6309,90.2447,181.5145,23.756,15.0535,0.0,0.0,50084.44406,40.813402217321,3.91562689998135,0.173168975942925,0.913
24,AUS,2017,2.75,35.86461030401725,,,,40.66,403.0057,367.0536,34688.6242,37325.3738,5750.6659,5895.1632,252.7484,123.023,217.3787,45.4927,547.2414,402.9216,841.6008,278.2557,890.4082,1777.4808,119.9828,1995.2928,349.2985,422.7382,135.4227,114.9907,10797.3451,4710.3529,309.1259,445.8419,0.0,1046.8501,119.0198,681.9362,251.2637,1433.8855,34.1746,1462.9479,685.8133,308.1265,216.8118,397.9425,70.3212,82.228,201.3567,109.5992,6791.7865,11037.2344,1359.9677,303.2137,1024.6858,136.538,1312.6404,277.5223,897.1515,319.5816,583.5876,47.0832,425.5084,1338.9204,294.6032,248.1426,1164.6934,150.6884,484.5399,530.5435,1153.9824,1185.8973,116.8202,155.0144,1039.3066,1834.5763,876.7664,1712.0088,0.0,0.0,109.2426,183.5243,14.1613,6.6654,106.6318,201.6655,27.6966,16.5389,0.0,0.0,54117.54772,42.0354135251854,3.80461669991451,0.198665473505862,0.899
25,AUS,2018,2.8611112,36.026876006522436,,,,25.03,917.3438,284.9999,42694.1669,43160.1624,5478.5094,5363.2776,333.546,130.7108,320.3961,55.4386,477.007,392.2888,1055.8104,355.8405,779.4003,2043.7866,299.9135,2355.6574,366.0631,396.5098,201.752,145.1373,11961.0811,5166.5148,441.1504,436.891,0.0,1248.778,128.2201,698.8314,259.7841,1422.5202,29.2005,1080.5422,620.5996,291.2495,272.5211,391.3955,78.407,78.8601,408.832,125.274,7691.7216,10882.4416,1840.3126,297.6967,920.733,151.702,1706.3535,286.9723,1171.0556,325.8197,569.2627,52.8735,698.511,1310.7202,305.5192,272.8671,1110.8188,168.9137,685.2381,682.6566,1345.7838,1332.3807,291.508,168.7012,1249.8513,1794.4425,1259.5856,1849.0885,0.0,0.0,314.1328,218.7031,73.3278,4.8767,295.8914,213.4916,102.1799,16.5993,0.0,0.0,57410.17373,43.5732253645218,3.70461492270932,0.264744671813473,0.887
26,AUS,2019,2.8611112,36.419888781812006,84.31,82.76,76.86,31.27,266.9398,270.9239,47691.6012,41295.4382,5101.7747,4108.1613,211.0176,114.2116,168.8181,39.7404,466.9508,334.0137,866.3304,324.0984,847.1888,2083.1903,665.7132,2390.3452,302.7772,348.7616,129.6214,122.1239,12206.0705,4149.9217,300.9142,424.565,0.0,1924.6874,98.3518,714.4874,211.8825,1415.3052,25.8004,1105.9977,669.3789,241.049,189.1411,403.3193,55.4793,73.4778,174.1893,97.2747,6389.2472,11033.351,1400.041,318.8467,930.3103,142.2604,1123.7942,293.9347,824.7952,324.2212,592.8137,52.2267,394.679,1305.9171,302.8503,295.5553,1164.2026,155.1794,643.3335,773.7406,1261.8375,1496.7261,105.7427,185.8068,913.0121,2311.1975,843.078,1918.5738,0.0,0.0,108.9753,244.3674,10.7311,5.4098,94.0128,218.7496,22.9214,17.1298,0.0,0.0,55194.75851,46.0016827052171,3.49325109953996,0.229199447926395,0.882
27,AUS,2020,2.9166667,39.647426269642715,,,,30.75,1847.3346,721.9681,49108.6204,35713.181,5730.4235,4107.7843,1057.6541,692.7162,834.5706,386.3707,1109.8381,951.3247,1350.6994,681.9113,1628.9995,3106.904,1104.2524,2532.5222,1158.7199,1073.4464,934.4735,736.7353,13361.222,4573.2907,1315.9376,1133.5695,0.0,1733.4792,860.4494,1413.7533,1049.3815,2160.4158,641.653,1481.6582,1051.6629,595.0245,987.8555,993.1048,437.4142,302.4309,1275.9845,785.1709,10893.646,11330.2645,2949.7938,966.7525,1422.0471,726.2234,1667.1416,882.0615,2178.35,1034.5402,1480.1606,648.5164,1326.3986,983.91,923.6628,813.7848,1455.0098,714.7585,1481.4299,1400.3511,2180.981,2172.2943,1009.8779,478.9978,2290.5709,2972.6994,2103.2297,2333.6308,0.0,0.0,419.7846,161.4152,178.9732,4.6476,1020.8624,509.3647,129.925,11.36,0.0,0.0,51983.45237,44.499564103879,3.48613515816088,0.108188865636013,0.908
28,AUT,2014,3.1111112,59.88333884164868,,,,57.19,73.2793,33.9212,74.4944,191.3752,3775.1123,1985.6303,434.9368,500.1735,434.236,820.9766,1460.6807,1939.8878,1247.6672,2.4389,3109.4177,7481.9189,430.7501,3261.0629,1156.2164,1174.7282,187.9704,735.3683,4894.4854,2207.1912,1749.5971,2032.4758,1060.3883,3098.8284,2008.1479,4560.6288,3891.6493,8493.2651,1633.9069,11403.2443,1364.3644,744.4167,2222.4015,949.3232,337.0466,42.4675,102.561,31.3912,1887.5123,10380.9981,975.1547,899.6507,51.6841,6.9867,51.4688,2199.2113,396.477,728.1222,152.0661,88.6651,212.5658,524.8,592.3288,365.9354,93.5202,985.7377,1207.5164,1982.225,690.0966,1652.823,20.4189,173.2378,851.8423,1728.7659,208.6488,656.2041,0.0,0.0,0.0,7.966,0.0,6.4894,89.0615,49.3915,32.8189,11.4729,0.0,0.0,51314.97226,104.49673998926,5.26153220387811,0.0769140310885635,0.602
29,AUT,2015,2.9444444,57.4068938535705,,,,55.39,61.5333,35.3275,43.5711,138.62,2745.8426,1660.5545,261.4316,356.0652,368.5049,742.1216,1723.6926,2459.0654,906.2659,15.0641,2432.3259,6276.9809,285.4897,3196.0782,927.1485,1016.1034,146.0761,572.8997,4277.9537,1985.2099,1496.3563,1783.8876,1007.15,2812.9075,1630.9085,4122.4437,2573.3665,6409.454,1292.9982,9659.2025,1330.2014,582.1172,865.5546,873.0215,239.7103,49.6689,76.5296,36.5565,1422.6005,8860.5736,552.0414,749.3632,33.579,13.4434,36.883,1764.8379,251.4698,623.5702,100.0571,68.6735,161.6645,488.914,586.8354,363.7486,78.5193,996.3508,861.036,1704.1202,498.2749,1418.8277,77.9409,53.7095,846.7272,1292.0555,146.3834,595.2184,0.0,0.0,0.0,18.2243,0.0,7.4556,66.1411,50.7934,26.778,16.3486,0.0,0.0,43915.22802,103.11758174626,4.99839552172285,0.0340776955534437,0.604
30,AUT,2016,2.9444444,54.76761979328958,,,,50.69,62.1584,35.1136,42.1437,132.3842,2458.708,2688.2581,364.2791,431.3027,414.9488,902.1538,1518.2671,2357.2472,768.1094,2.6023,2159.9466,5868.4985,279.5982,3107.4289,928.731,1117.1339,168.5129,581.9316,3972.6731,1570.8537,1490.84,1789.7292,1339.1544,3349.3753,1761.6906,4355.745,2767.3924,6276.3706,1274.6672,9912.477,1532.6562,468.4821,816.5316,863.5151,298.2587,46.3241,81.6926,35.3116,1513.7455,9250.5315,797.8863,829.9816,38.4065,11.8455,40.6283,1691.8302,372.4723,698.4307,148.6352,82.5641,187.6436,529.6039,512.2858,454.1787,91.3876,1144.4163,876.1355,1724.2476,483.474,1429.4058,27.595,220.6236,819.6111,1534.0061,165.4421,672.1154,0.0,0.0,0.0,18.3466,0.0,9.9596,0.0,85.5635,28.2919,20.6006,0.0,0.0,45061.49939,101.573494597172,4.57745173945013,0.0232518762283344,0.618
31,AUT,2017,2.9444444,51.73291293373118,,,,52.0,67.2793,35.3404,56.0628,186.9088,2546.3566,2682.505,415.7739,370.7409,426.8674,911.1681,1615.7545,2581.2526,986.1241,2.8536,2566.0315,6224.1045,313.4321,3371.3383,1016.4786,1175.0647,161.5241,660.6491,5125.5036,2968.7928,1811.9791,1883.5567,1580.4735,3999.9373,1662.4302,5690.8387,3148.0082,6849.529,1448.3316,10917.979,1678.28,550.74,791.7388,932.6613,354.6509,62.7991,90.9165,36.4717,1554.5394,9772.169,880.853,971.5387,40.2929,12.9789,34.012,2024.0226,386.3128,726.4927,166.3996,92.9295,209.6003,553.8522,532.3402,466.516,105.8316,1105.2148,1143.0349,1834.5562,716.476,1363.8998,28.1848,230.8576,901.8588,1678.6158,172.6024,793.5656,0.0,0.0,0.0,18.7302,0.0,14.3391,0.0,67.5114,31.9294,25.4658,0.0,0.0,47163.74258,105.556066755438,4.1179415960588,0.0301638333518207,0.609
32,AUT,2018,3.0833333,50.40674847518851,,,,49.49,187.0018,39.988,82.4005,315.6329,3013.8639,2817.987,524.9333,450.859,882.176,1027.8055,1669.8317,3024.0038,1275.545,8.389,2960.699,6981.543,318.1033,3436.4079,1264.6989,1411.4179,343.1611,784.8214,5847.8812,3076.1249,2345.1251,2387.5068,1699.3314,4693.8492,2039.9246,5904.1185,4014.7229,8770.8686,1667.7491,13717.367,1798.8253,1095.3916,1306.3431,1174.0801,650.7761,74.9106,225.4867,58.8879,3145.0214,11067.8744,1649.0619,1045.6033,66.0151,26.1637,73.8514,2772.1702,883.6083,824.8656,290.081,128.7582,0.0,642.9103,556.7685,529.0742,91.9559,1140.0405,1577.1734,2411.5278,1339.8128,1487.5413,240.1112,255.7116,1854.8822,1507.118,481.1052,854.1754,0.0,0.0,0.0,29.2394,0.0,25.5109,0.0,121.5763,97.1108,35.5339,0.0,0.0,51194.07498,108.377969971828,3.59812234792041,0.0426588456107289,0.63
33,AUT,2019,3.1388888,51.08257644897626,73.0,82.76,65.57,48.78,58.1663,37.8207,37.3176,212.1398,2965.4614,2906.2122,495.3237,414.3489,686.0568,971.6615,1661.7028,2820.6011,1255.974,4.3278,2743.1366,7032.8943,400.7985,3848.2117,1179.6282,1389.2534,254.3094,730.104,5734.6392,2510.0643,1958.6099,2178.4371,1667.1318,4531.0957,2070.6083,5753.5048,3603.0748,7321.2751,1537.7965,14344.4947,1410.7105,1562.9847,925.3906,1161.3484,168.0391,50.1636,88.1413,40.3911,860.7245,10978.8257,909.759,699.0311,34.6618,22.5609,39.1419,3069.2898,357.5114,786.4469,171.0382,107.8573,0.0,647.1041,604.9041,528.4733,81.8477,1165.3844,1485.4465,2633.3338,989.0708,1344.5175,60.7547,244.734,1045.7891,1618.4719,143.0445,821.8196,0.0,0.0,0.0,26.8532,0.0,23.2452,0.0,124.7161,27.4684,28.1372,0.0,0.0,49885.99474,108.207284904426,3.16986622290645,0.0368255085399603,0.612
