,REF_AREA,TIME_PERIOD,EPS,EPI,GCI 4.0: Energy efficiency regulation,GCI 4.0: Environment-related treaties in force,GCI 4.0: Renewable energy regulation,CCPI_SCORE,A01T03_Domestic,A01T03_Foreign,B05T09_Domestic,B05T09_Foreign,C10T12_Domestic,C10T12_Foreign,C13T15_Domestic,C13T15_Foreign,C16_Domestic,C16_Foreign,C17T18_Domestic,C17T18_Foreign,C19_Domestic,C19_Foreign,C20_Domestic,C20_Foreign,C21_Domestic,C21_Foreign,C22_Domestic,C22_Foreign,C23_Domestic,C23_Foreign,C24_Domestic,C24_Foreign,C25_Domestic,C25_Foreign,C26_Domestic,C26_Foreign,C27_Domestic,C27_Foreign,C28_Domestic,C28_Foreign,C29_Domestic,C29_Foreign,C30_Domestic,C30_Foreign,C31T33_Domestic,C31T33_Foreign,D35_E36T39_Domestic,D35_E36T39_Foreign,F41T43_Domestic,F41T43_Foreign,G45T47_Domestic,G45T47_Foreign,H49_Domestic,H49_Foreign,H50_Domestic,H50_Foreign,H51_Domestic,H51_Foreign,H52_Domestic,H52_Foreign,H53_Domestic,H53_Foreign,I55T56_Domestic,I55T56_Foreign,J58T60_Domestic,J58T60_Foreign,J61_Domestic,J61_Foreign,J62T63_Domestic,J62T63_Foreign,K64T66_Domestic,K64T66_Foreign,L68_Domestic,L68_Foreign,M69T75_Domestic,M69T75_Foreign,N77T82_Domestic,N77T82_Foreign,O84_Domestic,O84_Foreign,P85_Domestic,P85_Foreign,Q86T88_Domestic,Q86T88_Foreign,R90T93_Domestic,R90T93_Foreign,S94T96_Domestic,S94T96_Foreign,T97T98_Domestic,T97T98_Foreign,GDP,TRADE,INTEREST_PAYMENTS,OIL_RENTS,FINANCIAL_DEVELOPMENT
127,COL,2015,,28.040350686479105,,,,,89.151,25.8235,561.1699,795.7309,853.0961,412.6984,407.6005,93.7103,16.9658,8.9829,308.7387,169.3336,563.3935,216.5489,993.1799,935.7105,37.1753,327.2444,291.5309,342.2228,200.3907,144.1935,130.1254,93.691,47.8704,66.1485,26.1779,509.9328,190.7363,277.0227,180.9885,200.254,71.0883,711.1561,70.9673,127.425,137.9242,105.4002,133.6352,57.5998,808.1797,185.8795,486.2194,354.8022,363.8422,58.2742,12.1687,4.5346,81.2462,33.7019,40.0689,30.6127,19.3515,4.5951,52.6957,41.4637,35.7746,17.9554,158.594,37.7073,31.5686,36.2153,232.9615,321.0906,22.3235,4.2732,88.3744,46.3316,56.0375,31.2214,0.0,0.0,18.1751,0.5101,41.233,14.0179,31.3533,4.692,50.4666,14.0199,0.0,0.0,6248.514905,38.3607641184453,8.86641733707862,2.62770808784162,0.376
128,COL,2016,,28.95103103049928,,,,,86.8147,24.011,424.736,620.984,825.0054,339.0303,381.9145,90.5867,15.3522,8.3269,284.9083,157.1866,598.205,229.2777,884.8838,813.9923,36.7807,291.9873,267.4355,316.4951,160.7763,119.8644,113.5794,85.4528,46.0412,64.1537,41.1584,460.7893,167.0737,250.7275,131.6846,145.555,69.5431,537.1759,38.9893,85.5535,121.6502,98.646,192.3277,76.8144,674.6703,138.1443,444.1934,318.012,281.2305,46.7691,6.8655,2.81,65.2458,24.8467,38.7213,28.8185,15.5024,3.9963,56.3379,44.3083,33.5214,17.8335,152.5334,36.8588,32.3554,38.7555,199.9056,242.643,19.5318,3.4045,85.5357,42.935,47.3961,26.6549,0.0,0.0,18.3889,0.4613,41.3924,12.7773,22.323,2.8849,47.509,12.1776,0.0,0.0,5959.842504,36.202652984202,11.2733677695796,1.86176731845908,0.382
129,COL,2017,,33.06419147194162,,,,,94.6091,24.3084,456.6989,629.2707,838.0861,293.9662,372.6879,84.8774,17.2705,9.3828,320.7125,164.1547,677.0393,230.6483,936.7534,856.3746,38.3563,281.2773,274.0294,309.0149,160.1343,114.8302,197.4546,139.9177,61.1796,81.6647,20.985,448.5841,145.2301,281.1325,179.985,210.7223,67.5844,486.6688,52.2687,98.6671,129.2042,99.1026,210.3623,77.9107,777.6554,145.4003,558.2592,349.8953,264.071,40.9395,7.4295,2.914,65.191,23.4987,34.5198,23.9619,16.4109,3.9738,58.4122,39.5739,26.0916,13.8265,139.0845,32.0643,38.2235,39.2815,253.284,259.8125,26.4453,4.7057,90.8419,40.9619,50.6561,24.6555,0.0,0.0,20.5299,0.4893,46.0658,12.6445,25.3426,3.2522,48.4052,9.9552,0.0,0.0,6479.532313,35.2829149424588,11.1982643477404,2.42584234973897,0.382
130,COL,2018,,34.372151695793896,,,,,381.6699,30.8565,584.8013,644.6485,944.5695,292.9318,470.2434,95.303,33.8233,13.9182,327.1777,173.1032,709.0972,195.4872,975.2578,890.7452,48.2817,312.5744,354.4877,332.2318,203.166,117.2495,234.9103,161.2346,111.8499,99.598,36.6469,523.4771,168.3591,317.2081,200.2469,249.0195,93.2311,560.2604,70.0818,117.6982,209.416,111.3347,245.9276,63.7632,1535.8398,158.6631,862.7036,363.5211,355.5102,45.2702,8.6383,4.7073,112.9361,30.2109,54.0776,30.4307,22.1859,7.0856,190.8028,43.5977,30.2501,18.1959,117.1936,33.8061,61.8648,50.6707,313.0135,251.4844,83.6087,7.1887,151.7097,49.7873,84.4916,30.2169,0.0,0.0,84.9577,2.3166,198.967,17.5548,70.0327,7.9706,129.5074,16.4874,0.0,0.0,6816.968183,36.5347527968973,10.9583076355613,3.64006660382347,0.387
131,COL,2019,,32.96167221388406,37.46,65.52,43.57,,81.4637,27.9153,540.0143,764.8564,906.0092,346.3781,374.8734,91.3617,16.0874,10.3978,331.8544,174.4449,607.67,220.4619,1000.031,862.0931,49.0737,285.9248,294.047,352.8085,144.3221,120.3556,183.0355,133.4934,65.0794,99.0251,55.2188,470.4708,160.9004,327.4059,201.8785,242.4699,73.0433,581.738,60.1479,117.5936,118.3916,105.1659,163.8272,65.2187,795.6078,168.5578,580.0696,382.2142,306.282,52.4007,9.1255,3.3316,73.2951,36.3094,34.2992,27.3208,19.1023,4.7157,48.6523,46.7124,20.5803,12.9008,116.2916,29.2961,49.8914,54.8834,268.9947,275.7311,26.6429,6.843,95.8178,52.2702,46.9904,28.4037,0.0,0.0,13.6843,0.5232,31.9311,15.289,20.9317,3.9287,34.6807,11.0689,0.0,0.0,6472.545449,37.558533980839,10.8755067433855,3.14271008185612,0.388
132,COL,2020,,33.09631290527458,,,,,1064.0639,393.8613,917.0603,898.9206,1587.1368,805.8665,941.3036,477.8684,349.2924,231.4144,761.9898,555.4432,722.6378,346.2177,1175.0977,1334.6729,0.0,14.5801,785.7019,694.8363,616.7123,477.1844,718.0244,552.4019,615.0755,504.6129,448.2919,778.1707,528.8509,595.5703,624.1991,596.787,504.4955,875.5428,425.3256,411.7033,779.8696,575.075,692.6033,428.5766,2003.7689,604.3297,1400.91,842.7803,799.1613,362.2263,184.027,123.5007,414.5793,261.7222,434.6168,327.5871,298.5979,192.022,771.3188,393.2066,414.6633,315.2938,609.5989,416.1973,507.6767,412.4644,743.0925,611.9293,475.3113,164.2524,677.9939,484.9677,523.1083,379.211,0.0,0.0,565.9773,101.049,750.815,329.996,558.1954,267.7311,693.8959,387.5227,0.0,0.0,5339.687114,34.0555709680101,11.8624200372273,1.56279790261714,0.394
133,CRI,2014,,41.01935018861547,,,,,35.9414,10.3709,17.7946,8.676,229.5496,383.4577,27.1116,30.509,5.4795,3.8346,15.4158,207.6238,40.7095,5.3948,130.757,70.0909,20.894,7.4358,45.8175,166.3562,13.6988,81.6536,74.8724,16.1131,13.8721,54.9582,0.0,62.4396,65.4028,136.716,3.6797,5.8924,0.3939,9.9944,0.067,1.7363,68.448,363.5104,57.7128,8.876,247.5872,14.3171,329.617,146.0121,38.7195,1.1597,117.2434,2.6048,8.6189,6.9742,13.9447,34.7234,12.2286,4.0191,29.0287,13.3163,40.6223,0.9977,28.8184,24.7232,13.1138,7.7132,50.0067,14.4048,18.6284,1.7537,64.1536,4.8166,22.5808,40.891,0.0,0.0,9.2055,0.1768,19.0531,3.4695,10.8015,1.0056,9.913,1.6969,0.0,0.0,10911.49788,65.1912420532368,10.8192474730941,0.0518301508258059,0.294
134,CRI,2015,,45.34987479583102,,,,,31.0289,11.7709,14.0591,6.9988,153.2421,492.4294,20.7,27.614,4.731,4.3091,8.0836,205.639,35.4032,4.8456,96.5561,110.0324,17.9737,10.6233,33.8549,177.9194,11.1434,82.99,52.5522,37.595,25.5133,15.8867,0.0,28.5897,74.6002,58.5009,2.4914,7.1652,0.5397,7.7943,0.0674,1.5397,90.7708,340.8931,30.7127,4.0294,222.8929,53.1205,278.0383,176.7571,23.9043,0.8787,85.524,3.7321,5.1523,18.0317,8.8686,36.7626,10.1477,9.0914,27.9538,23.2328,41.8087,2.9147,28.7566,24.8035,9.8724,14.2906,57.0426,17.3834,17.8309,2.9159,58.4499,22.7985,20.9312,52.3267,0.0,0.0,9.3151,0.4733,18.4584,4.8536,9.1464,1.2669,10.0433,2.3662,0.0,0.0,11714.7106,60.753561939521,11.0393796221737,0.0200960578384208,0.273
135,CRI,2016,,46.98253399816068,,,,,34.8407,11.8229,13.4817,6.1034,165.1693,499.7304,21.3222,22.5821,4.5557,6.2111,8.5746,204.2258,34.989,4.5912,79.0321,114.8739,15.1722,12.5468,24.3309,191.3585,12.2957,78.1751,48.555,37.1624,20.0009,24.4168,0.0,38.4726,60.2954,62.09,2.5114,7.3247,0.6383,8.0006,0.0534,1.5764,104.1982,390.0081,29.6983,3.7384,213.3002,86.9467,244.8205,161.309,28.1245,1.1754,87.5461,5.7308,4.9965,31.5279,10.055,37.9056,7.7509,15.0571,32.1853,33.9216,38.2131,4.2803,32.9033,16.5772,7.4375,16.8264,55.699,19.0904,20.9422,4.1764,67.1556,41.4242,23.3455,53.3392,0.0,0.0,10.5149,0.4994,20.7794,5.2286,10.0338,1.7294,11.2071,2.8467,0.0,0.0,12091.03016,62.1784781768295,11.0263284192798,0.0158677459016205,0.273
136,CRI,2017,,44.624191426257184,,,,,42.649,14.7828,8.2632,9.8379,170.7961,509.7149,23.3173,17.8373,3.7104,6.452,10.3952,191.2779,67.4025,7.4875,79.6177,111.6827,18.6418,12.5255,21.4066,205.333,12.3438,74.1039,64.9992,56.464,14.1007,52.7766,0.0,53.6766,16.1887,126.8438,3.5358,5.2266,0.6643,6.3217,0.0246,1.161,75.772,563.3756,25.4744,5.2868,188.1605,108.3921,240.8651,146.581,43.7181,1.9048,110.2728,8.7775,4.0132,49.6072,14.5968,54.9666,3.4283,11.7526,35.4974,45.8655,43.7985,7.2875,46.758,27.0106,10.753,33.4567,50.0174,22.4812,23.8884,5.4063,69.8929,68.2338,27.2627,45.1456,0.0,0.0,11.8245,0.8934,25.1952,6.4301,9.826,2.082,12.2428,3.3456,0.0,0.0,12317.09028,65.0719537438815,11.0172885301658,0.0058555348343444,0.283
