ISO,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SAU,Saudi Arabia,28.7,25.8,24.5,26.90,25.17,24.19,21.08,25.45,11.2,8.82,22.03,22.46,24.25,22.41,19.33
SWE,Sweden,67.4,69.9,68.1,69.37,68.10,71.44,69.91,66.15,74.32,76.28,75.77,74.42,74.22,73.28,69.39
SVN,Slovenia,48.1,51.4,55.6,60.98,59.19,60.99,56.87,56.55,50.54,44.9,41.91,37.02,43.28,48.16,53.57
SVK,Slovakia,54.7,60.5,64.0,64.64,63.17,62.5,57.83,57.69,56.04,56.61,52.69,49.51,50.67,50.12,54.47
THA,Thailand,54.6,59.8,58.4,58.32,54.51,50.61,48.16,51.91,49.07,48.71,46.76,53.18,55.01,47.23,61.38
TUR,Turkey,49.1,49.0,41.7,46.60,46.47,46.95,47.25,45.54,41.02,40.22,40.76,43.47,50.53,43.32,43.82
TWN,Taiwan / China,47.5,50.2,49.0,49.40,46.81,45.03,45.45,44.76,29.43,28.8,23.33,27.11,30.7,28.35,36.94
USA,United States,46.3,46.5,48.5,53.51,52.93,52.33,54.91,51.04,25.86,18.82,18.6,19.75,37.39,38.53,42.79
ZAF,South Africa,52.9,56.6,53.6,56.70,54.04,54.63,53.76,56.17,40.61,48.25,45.67,46.13,51.13,45.69,49.53
EGY,Egypt,59.1,59.1,59.1,59.04,59.00,59.19,56.96,58.75,54.02,57.49,57.53,54.33,59.74,59.37,61.8
